epoch,lr-AdamW,step,train/chroma_l1_epoch,train/chroma_l1_step,train/kl_epoch,train/kl_step,train/l1_epoch,train/l1_step,train/loss_epoch,train/loss_step,train/lpips_epoch,train/lpips_step,train/sat_recon_epoch,train/sat_recon_step,train/sat_target_epoch,train/sat_target_step,val/chroma_l1,val/kl,val/l1,val/loss,val/lpips,val/sat_recon,val/sat_target
,4.393398282201783e-05,72368,,,,,,,,,,,,,,,,,,,,,
100,,72374,,0.06836602091789246,,0.40456584095954895,,0.12518340349197388,,2.264004707336426,,0.4025067090988159,,0.5749512314796448,,0.5715145468711853,,,,,,,
100,,72399,,0.049489133059978485,,0.4157339632511139,,0.0746360644698143,,1.5612154006958008,,0.25065332651138306,,0.508338212966919,,0.48908063769340515,,,,,,,
100,,72424,,0.08477969467639923,,0.5621850490570068,,0.12416603416204453,,2.4012832641601562,,0.343098908662796,,0.6347869634628296,,0.6294971704483032,,,,,,,
100,,72449,,0.09356093406677246,,0.6590579748153687,,0.12804344296455383,,2.538114070892334,,0.31550782918930054,,0.788472056388855,,0.7917135953903198,,,,,,,
100,,72474,,0.06209332495927811,,0.4986698031425476,,0.1036418080329895,,2.0850276947021484,,0.3554718494415283,,0.5997204780578613,,0.610637903213501,,,,,,,
100,,72499,,0.11879411339759827,,0.49160921573638916,,0.1828465312719345,,3.1067564487457275,,0.42776796221733093,,0.6934802532196045,,0.6968558430671692,,,,,,,
100,,72524,,0.14385971426963806,,0.4708022475242615,,0.23169004917144775,,3.6819300651550293,,0.4498549699783325,,0.7878806591033936,,0.804938018321991,,,,,,,
100,,72549,,0.06906476616859436,,0.4919864535331726,,0.10513963550329208,,2.053473472595215,,0.3028962314128876,,0.5650753974914551,,0.5620927810668945,,,,,,,
100,,72574,,0.11411883682012558,,0.6607538461685181,,0.16461293399333954,,2.9852988719940186,,0.33605921268463135,,0.7829163670539856,,0.7716416716575623,,,,,,,
100,,72599,,0.06830015033483505,,0.5188697576522827,,0.10804661363363266,,2.1573963165283203,,0.3471662998199463,,0.5951985716819763,,0.603190004825592,,,,,,,
